Innings,Venue,Start Date,End Date,Team,Player 1,Player 2,Player 1 Runs,Player 1 Balls,Partnership Runs,Partnership Balls,Player 2 Runs,Player 2 Balls
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,RG Sharma,KA Pollard,5,3,7,5,2,2
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,AT Rayudu,KA Pollard,1,1,13,7,12,6
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,AT Rayudu,AP Tare,1,1,1,2,0,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,Harbhajan Singh,AT Rayudu,0,0,0,1,0,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,Harbhajan Singh,P Kumar,1,1,2,3,1,2
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,Harbhajan Singh,PP Ojha,6,1,7,2,1,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,DR Smith,F du Plessis,24,20,60,38,34,18
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,SK Raina,F du Plessis,1,1,4,3,1,2
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,BB McCullum,SK Raina,14,11,23,16,7,5
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,DJ Hussey,SK Raina,40,29,89,56,46,27
