Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
29th match (D/N),East London,04-May-2009,04-May-2009,CSK,DCH,178,3,100,10,179,20,14.4,20,20,CSK won by 78 runs
30th match,Durban,05-May-2009,05-May-2009,RR,KXIP,211,4,133,8,212,20,20,20,20,RR won by 78 runs
31st match (D/N),Durban,05-May-2009,05-May-2009,KKR,DC,154,3,157,1,155,20,19,20,20,Daredevils won by 9 wickets (with 6 balls remaining)
32nd match (D/N),Centurion,06-May-2009,06-May-2009,DCH,MI,145,6,126,8,146,20,20,20,20,Chargers won by 19 runs
33rd match,Centurion,07-May-2009,07-May-2009,RCB,RR,105,10,107,3,106,20,15,20,20,RR won by 7 wickets (with 30 balls remaining)
34th match (D/N),Centurion,07-May-2009,07-May-2009,CSK,KXIP,18,10,174,3,19,18,18,18,18,CSK won by 12 runs (D/L method)
35th match (D/N),East London,08-May-2009,08-May-2009,MI,DC,116,10,118,3,117,20,18.5,20,20,Daredevils won by 7 wickets (with 7 balls remaining)
36th match,Kimberley,09-May-2009,09-May-2009,DCH,KXIP,168,5,169,7,169,20,19.5,20,20,Kings XI won by 3 wickets (with 1 ball remaining)
37th match (D/N),Kimberley,09-May-2009,09-May-2009,RR,CSK,140,7,141,3,141,20,18.2,20,20,CSK won by 7 wickets (with 10 balls remaining)
38th match,Gqeberha,10-May-2009,10-May-2009,MI,RCB,157,2,141,7,158,20,20,20,20,MI won by 16 runs
39th match (D/N),Johannesburg,10-May-2009,10-May-2009,KKR,DC,123,8,125,3,124,20,17.1,20,20,Daredevils won by 7 wickets (with 17 balls remaining)
40th match (D/N),Kimberley,11-May-2009,11-May-2009,DCH,RR,166,7,113,10,167,20,19.3,20,20,Chargers won by 53 runs
41st match,Centurion,12-May-2009,12-May-2009,KKR,RCB,173,4,176,4,174,20,19.2,20,20,RCB won by 6 wickets (with 4 balls remaining)
42nd match (D/N),Centurion,12-May-2009,12-May-2009,KXIP,MI,119,9,122,2,120,20,16.2,20,20,MI won by 8 wickets (with 22 balls remaining)
43rd match (D/N),Durban,13-May-2009,13-May-2009,DC,DCH,173,7,161,10,174,20,19.4,20,20,Daredevils won by 12 runs
44th match,Durban,14-May-2009,14-May-2009,CSK,RCB,129,10,132,8,130,19.4,19.4,20,20,RCB won by 2 wickets (with 2 balls remaining)
45th match (D/N),Durban,14-May-2009,14-May-2009,RR,MI,145,7,143,10,146,20,19.5,20,20,RR won by 2 runs
46th match (D/N),Bloemfontein,15-May-2009,15-May-2009,DC,KXIP,120,9,123,4,121,20,19.1,20,20,Kings XI won by 6 wickets (with 5 balls remaining)
47th match,Gqeberha,16-May-2009,16-May-2009,MI,CSK,147,5,151,3,148,20,19.1,20,20,CSK won by 7 wickets (with 5 balls remaining)
48th match (D/N),Johannesburg,16-May-2009,16-May-2009,KKR,DCH,160,5,166,4,161,20,20,20,20,Chargers won by 6 wickets (with 0 balls remaining)
49th match,Johannesburg,17-May-2009,17-May-2009,KXIP,DCH,134,7,133,8,135,20,20,20,20,Kings XI won by 1 run
50th match (D/N),Bloemfontein,17-May-2009,17-May-2009,DC,RR,150,3,136,9,151,20,20,20,20,Daredevils won by 14 runs
51st match (D/N),Centurion,18-May-2009,18-May-2009,CSK,KKR,188,3,189,3,189,20,20,20,20,KKR won by 7 wickets (with 0 balls remaining)
52nd match (D/N),Johannesburg,19-May-2009,19-May-2009,DC,RCB,134,7,135,3,135,20,19,20,20,RCB won by 7 wickets (with 6 balls remaining)
53rd match,Durban,20-May-2009,20-May-2009,RR,KKR,101,9,102,6,102,20,19.3,20,20,KKR won by 4 wickets (with 3 balls remaining)
54th match (D/N),Durban,20-May-2009,20-May-2009,CSK,KXIP,116,9,92,8,117,20,20,20,20,CSK won by 24 runs
55th match,Centurion,21-May-2009,21-May-2009,MI,DC,165,8,166,6,166,20,17.3,20,20,Daredevils won by 4 wickets (with 15 balls remaining)
56th match (D/N),Centurion,21-May-2009,21-May-2009,RCB,DCH,170,4,158,6,171,20,20,20,20,RCB won by 12 runs
1st Semi-Final (D/N),Centurion,22-May-2009,22-May-2009,DC,DCH,153,8,154,4,154,20,17.4,20,20,Chargers won by 6 wickets (with 14 balls remaining)
2nd Semi-Final (D/N),Johannesburg,23-May-2009,23-May-2009,CSK,RCB,146,5,149,4,147,20,18.5,20,20,RCB won by 6 wickets (with 7 balls remaining)
Final (D/N),Johannesburg,24-May-2009,24-May-2009,DCH,RCB,143,6,137,9,144,20,20,20,20,Chargers won by 6 runs
1st match (N),DY Patil,12-March-2010,12-March-2010,KKR,DCH,161,4,150,7,162,20,20,20,20,KKR won by 11 runs
2nd match (D/N),Brabourne,13-March-2010,13-March-2010,MI,RR,212,6,208,7,213,20,20,20,20,MI won by 4 runs
3rd match (N),Mohali,13-March-2010,13-March-2010,KXIP,DC,142,9,146,5,143,20,19.5,20,20,Daredevils won by 5 wickets (with 1 ball remaining)
4th match (D/N),Eden Gardens,14-March-2010,14-March-2010,RCB,KKR,135,7,136,3,136,20,19.2,20,20,KKR won by 7 wickets (with 4 balls remaining)
5th match (N),Chennai,14-March-2010,14-March-2010,DCH,CSK,190,4,159,9,191,20,20,20,20,Chargers won by 31 runs
6th match (N),Ahmedabad,15-March-2010,15-March-2010,RR,DC,141,6,142,4,142,20,17.1,20,20,Daredevils won by 6 wickets (with 17 balls remaining)
7th match (D/N),Bengaluru,16-March-2010,16-March-2010,KXIP,RCB,203,3,204,2,204,20,18.5,20,20,RCB won by 8 wickets (with 7 balls remaining)
8th match (N),Eden Gardens,16-March-2010,16-March-2010,CSK,KKR,164,3,109,10,165,20,19.2,20,20,CSK won by 55 runs
9th match (N),Delhi,17-March-2010,17-March-2010,MI,DC,218,7,120,10,219,20,16.3,20,20,MI won by 98 runs
10th match (N),Bengaluru,18-March-2010,18-March-2010,RR,RCB,92,10,93,0,93,19.5,10.4,20,20,RCB won by 10 wickets (with 56 balls remaining)
11th match (D/N),Delhi,19-March-2010,19-March-2010,DC,CSK,185,6,190,5,186,20,19.1,20,20,CSK won by 5 wickets (with 5 balls remaining)
12th match (N),Cuttack,19-March-2010,19-March-2010,DCH,KXIP,170,7,164,8,171,20,20,20,20,Chargers won by 6 runs
13th match (D/N),Ahmedabad,20-March-2010,20-March-2010,RR,KKR,168,7,134,5,169,20,20,20,20,RR won by 34 runs
14th match (N),Brabourne,20-March-2010,20-March-2010,MI,RCB,151,9,155,3,152,20,19.1,20,20,RCB won by 7 wickets (with 5 balls remaining)
15th match (D/N),Cuttack,21-March-2010,21-March-2010,DCH,DC,171,6,161,9,172,20,20,20,20,Chargers won by 10 runs
16th match (N),Chennai,21-March-2010,21-March-2010,KXIP,CSK,136,8,136,7,137,20,20,20,20,Match tied (Kings XI won the one-over eliminator)
17th match (N),Brabourne,22-March-2010,22-March-2010,KKR,MI,155,3,156,3,156,20,18.3,20,20,MI won by 7 wickets (with 9 balls remaining)
18th match (N),Bengaluru,23-March-2010,23-March-2010,RCB,CSK,171,5,135,7,172,20,20,20,20,RCB won by 36 runs
19th match (N),Mohali,24-March-2010,24-March-2010,RR,KXIP,183,5,152,10,184,20,19.1,20,20,RR won by 31 runs
20th match (D/N),Bengaluru,25-March-2010,25-March-2010,DC,RCB,183,4,166,9,184,20,20,20,20,Daredevils won by 17 runs
21st match (N),Brabourne,25-March-2010,25-March-2010,CSK,MI,180,2,181,5,181,20,19,20,20,MI won by 5 wickets (with 6 balls remaining)
22nd match (N),Ahmedabad,26-March-2010,26-March-2010,DCH,RR,148,9,151,2,149,20,15.4,20,20,RR won by 8 wickets (with 26 balls remaining)
23rd match (N),Mohali,27-March-2010,27-March-2010,KKR,KXIP,183,5,144,6,184,20,20,20,20,KKR won by 39 runs
24th match (D/N),Ahmedabad,28-March-2010,28-March-2010,RR,CSK,177,8,160,6,178,20,20,20,20,RR won by 17 runs
25th match (N),DY Patil,28-March-2010,28-March-2010,MI,DCH,172,7,131,10,173,20,17.4,20,20,MI won by 41 runs
26th match (N),Delhi,29-March-2010,29-March-2010,DC,KKR,177,4,137,9,178,20,20,20,20,Daredevils won by 40 runs
27th match (N),Brabourne,30-March-2010,30-March-2010,KXIP,MI,163,10,164,6,164,20,19.3,20,20,MI won by 4 wickets (with 3 balls remaining)
28th match (D/N),Chennai,31-March-2010,31-March-2010,RCB,CSK,161,4,162,5,162,20,19,20,20,CSK won by 5 wickets (with 6 balls remaining)
29th match (N),Delhi,31-March-2010,31-March-2010,DC,RR,188,6,121,10,189,20,17.4,20,20,Daredevils won by 67 runs
30th match (N),Eden Gardens,01-April-2010,01-April-2010,KKR,DCH,181,6,157,5,182,20,20,20,20,KKR won by 24 runs
31st match (N),Mohali,02-April-2010,02-April-2010,KXIP,RCB,181,5,184,4,182,20,19.1,20,20,RCB won by 6 wickets (with 5 balls remaining)
32nd match (D/N),Chennai,03-April-2010,03-April-2010,CSK,RR,246,5,223,5,247,20,20,20,20,CSK won by 23 runs
33rd match (N),Brabourne,03-April-2010,03-April-2010,MI,DCH,178,5,115,10,179,20,18.2,20,20,MI won by 63 runs
34th match (D/N),Eden Gardens,04-April-2010,04-April-2010,KKR,KXIP,200,3,204,2,201,20,18.2,20,20,Kings XI won by 8 wickets (with 10 balls remaining)
35th match (N),Delhi,04-April-2010,04-April-2010,DC,RCB,184,5,147,9,185,20,20,20,20,Daredevils won by 37 runs
36th match (N),Nagpur,05-April-2010,05-April-2010,RR,DCH,159,10,157,10,160,19.5,19.5,20,20,RR won by 2 runs
37th match (N),Chennai,06-April-2010,06-April-2010,CSK,MI,165,4,141,9,166,20,20,20,20,CSK won by 24 runs
38th match (D/N),Jaipur,07-April-2010,07-April-2010,KXIP,RR,153,6,157,1,154,20,15,20,20,RR won by 9 wickets (with 30 balls remaining)
39th match (N),Eden Gardens,07-April-2010,07-April-2010,KKR,DC,181,3,167,8,182,20,20,20,20,KKR won by 14 runs
40th match (N),Bengaluru,08-April-2010,08-April-2010,RCB,DCH,184,6,186,3,185,20,19.2,20,20,Chargers won by 7 wickets (with 4 balls remaining)
41st match (N),Mohali,09-April-2010,09-April-2010,MI,KXIP,154,9,158,4,155,20,19.2,20,20,Kings XI won by 6 wickets (with 4 balls remaining)
42nd match (D/N),Nagpur,10-April-2010,10-April-2010,CSK,DCH,138,8,139,4,139,20,19.1,20,20,Chargers won by 6 wickets (with 5 balls remaining)
43rd match (N),Bengaluru,10-April-2010,10-April-2010,KKR,RCB,160,9,162,3,161,20,17.1,20,20,RCB won by 7 wickets (with 17 balls remaining)
44th match (D/N),Delhi,11-April-2010,11-April-2010,DC,KXIP,111,10,112,3,112,19.4,18.4,20,20,Kings XI won by 7 wickets (with 8 balls remaining)
45th match (N),Jaipur,11-April-2010,11-April-2010,MI,RR,174,5,137,8,175,20,20,20,20,MI won by 37 runs
46th match (N),Nagpur,12-April-2010,12-April-2010,DCH,RCB,151,6,138,10,152,20,19.4,20,20,Chargers won by 13 runs
47th match (D/N),Brabourne,13-April-2010,13-April-2010,MI,DC,183,4,144,7,184,20,20,20,20,MI won by 39 runs
48th match (N),Chennai,13-April-2010,13-April-2010,KKR,CSK,139,8,143,1,140,20,13.3,20,20,CSK won by 9 wickets (with 39 balls remaining)
49th match (N),Jaipur,14-April-2010,14-April-2010,RR,RCB,130,6,132,5,131,20,15.4,20,20,RCB won by 5 wickets (with 26 balls remaining)
50th match (N),Chennai,15-April-2010,15-April-2010,CSK,DC,112,9,113,4,113,20,18.4,20,20,Daredevils won by 6 wickets (with 8 balls remaining)
51st match (N),Dharamsala,16-April-2010,16-April-2010,KXIP,DCH,174,3,178,5,175,20,19.1,20,20,Chargers won by 5 wickets (with 5 balls remaining)
52nd match (D/N),Bengaluru,17-April-2010,17-April-2010,MI,RCB,191,4,134,9,192,20,20,20,20,MI won by 57 runs
53rd match (N),Eden Gardens,17-April-2010,17-April-2010,RR,KKR,132,9,133,2,133,20,16.1,20,20,KKR won by 8 wickets (with 23 balls remaining)
54th match (D/N),Dharamsala,18-April-2010,18-April-2010,KXIP,CSK,192,3,195,4,193,20,19.4,20,20,CSK won by 6 wickets (with 2 balls remaining)
55th match (N),Delhi,18-April-2010,18-April-2010,DCH,DC,145,7,134,7,146,20,20,20,20,Chargers won by 11 runs
56th match (N),Eden Gardens,19-April-2010,19-April-2010,MI,KKR,133,8,135,1,134,20,17.3,20,20,KKR won by 9 wickets (with 15 balls remaining)
1st Semi-Final (N),DY Patil,21-April-2010,21-April-2010,MI,RCB,184,5,149,9,185,20,20,20,20,MI won by 35 runs
2nd Semi-Final (N),DY Patil,22-April-2010,22-April-2010,CSK,DCH,142,7,104,10,143,20,19.2,20,20,CSK won by 38 runs
3rd Place Play-off (N),DY Patil,24-April-2010,24-April-2010,DCH,RCB,82,10,86,1,83,18.3,13.5,20,20,RCB won by 9 wickets (with 37 balls remaining)
Final (N),DY Patil,25-April-2010,25-April-2010,CSK,MI,168,5,146,9,169,20,20,20,20,CSK won by 22 runs
1st match (N),Chennai,08-April-2011,08-April-2011,CSK,KKR,153,4,151,7,154,20,20,20,20,CSK won by 2 runs
2nd match (D/N),Hyderabad,09-April-2011,09-April-2011,DCH,RR,137,8,141,2,138,20,18.5,20,20,RR won by 8 wickets (with 7 balls remaining)
3rd match (N),Kochi,09-April-2011,09-April-2011,Kochi,RCB,161,5,162,4,162,20,18.4,20,20,RCB won by 6 wickets (with 8 balls remaining)
4th match (D/N),Delhi,10-April-2011,10-April-2011,DC,MI,95,10,99,2,96,17.4,16.5,20,20,MI won by 8 wickets (with 19 balls remaining)
5th match (N),DY Patil,10-April-2011,10-April-2011,KXIP,PWI,112,8,113,3,113,20,13.1,20,20,Warriors won by 7 wickets (with 41 balls remaining)
6th match (N),Eden Gardens,11-April-2011,11-April-2011,KKR,DCH,163,4,154,8,164,20,20,20,20,KKR won by 9 runs
7th match (D/N),Jaipur,12-April-2011,12-April-2011,DC,RR,151,6,152,4,152,20,18.3,20,20,RR won by 6 wickets (with 9 balls remaining)
8th match (N),Bengaluru,12-April-2011,12-April-2011,RCB,MI,140,4,143,1,141,20,18.3,20,20,MI won by 9 wickets (with 9 balls remaining)
9th match (D/N),Mohali,13-April-2011,13-April-2011,CSK,KXIP,188,4,193,4,189,20,19.1,20,20,Kings XI won by 6 wickets (with 5 balls remaining)
10th match (N),DY Patil,13-April-2011,13-April-2011,Kochi,PWI,148,8,151,6,149,20,18.5,20,20,Warriors won by 4 wickets (with 7 balls remaining)
11th match (N),Hyderabad,14-April-2011,14-April-2011,DCH,RCB,175,5,142,9,176,20,20,20,20,Chargers won by 33 runs
12th match (D/N),Jaipur,15-April-2011,15-April-2011,RR,KKR,159,4,160,1,160,20,18.3,20,20,KKR won by 9 wickets (with 9 balls remaining)
13th match (N),Wankhede,15-April-2011,15-April-2011,MI,Kochi,182,2,184,2,183,20,19,20,20,Kochi won by 8 wickets (with 6 balls remaining)
14th match (D/N),Chennai,16-April-2011,16-April-2011,CSK,RCB,183,5,162,7,184,20,20,20,20,CSK won by 21 runs
15th match (N),Hyderabad,16-April-2011,16-April-2011,DCH,KXIP,165,8,166,2,166,20,17.4,20,20,Kings XI won by 8 wickets (with 14 balls remaining)
16th match (D/N),DY Patil,17-April-2011,17-April-2011,PWI,DC,187,5,190,7,188,20,19.2,20,20,Daredevils won by 3 wickets (with 4 balls remaining)
17th match (N),Eden Gardens,17-April-2011,17-April-2011,RR,KKR,81,10,85,2,82,15.2,13.5,20,20,KKR won by 8 wickets (with 37 balls remaining)
18th match (N),Kochi,18-April-2011,18-April-2011,CSK,Kochi,17,10,135,3,18,17,15,17,17,Kochi won by 7 wickets (with 12 balls remaining) (D/L method)
19th match (D/N),Delhi,19-April-2011,19-April-2011,DCH,DC,168,4,152,7,169,20,20,20,20,Chargers won by 16 runs
21st match (D/N),Wankhede,20-April-2011,20-April-2011,PWI,MI,118,10,124,3,119,17.2,20,20,20,MI won by 7 wickets (with 0 balls remaining)
22nd match (N),Eden Gardens,20-April-2011,20-April-2011,Kochi,KKR,132,7,126,9,133,20,20,20,20,Kochi won by 6 runs
23rd match (N),Mohali,21-April-2011,21-April-2011,KXIP,RR,195,7,147,7,196,20,20,20,20,Kings XI won by 48 runs
24th match (D/N),Eden Gardens,22-April-2011,22-April-2011,KKR,RCB,171,5,175,1,172,20,18.1,20,20,RCB won by 9 wickets (with 11 balls remaining)
25th match (N),Wankhede,22-April-2011,22-April-2011,MI,CSK,164,4,156,9,165,20,20,20,20,MI won by 8 runs
26th match (N),Delhi,23-April-2011,23-April-2011,DC,KXIP,231,4,202,6,232,20,20,20,20,Daredevils won by 29 runs
27th match (D/N),Hyderabad,24-April-2011,24-April-2011,MI,DCH,172,4,135,8,173,20,20,20,20,MI won by 37 runs
28th match (N),Jaipur,24-April-2011,24-April-2011,Kochi,RR,109,10,111,2,110,20,14.1,20,20,RR won by 8 wickets (with 35 balls remaining)
29th match (N),Chennai,25-April-2011,25-April-2011,CSK,PWI,142,6,117,9,143,20,20,20,20,CSK won by 25 runs
30th match (N),Delhi,26-April-2011,26-April-2011,DC,RCB,160,6,161,7,161,20,19.3,20,20,RCB won by 3 wickets (with 3 balls remaining)
31st match (D/N),DY Patil,27-April-2011,27-April-2011,PWI,CSK,141,6,145,2,142,20,19.3,20,20,CSK won by 8 wickets (with 3 balls remaining)
32nd match (N),Kochi,27-April-2011,27-April-2011,DCH,Kochi,129,7,74,10,130,20,16.3,20,20,Chargers won by 55 runs
33rd match (N),Delhi,28-April-2011,28-April-2011,KKR,DC,148,7,131,9,149,20,20,20,20,KKR won by 17 runs
34th match (D/N),Jaipur,29-April-2011,29-April-2011,MI,RR,94,8,95,3,95,20,18.1,20,20,RR won by 7 wickets (with 11 balls remaining)
35th match (N),Bengaluru,29-April-2011,29-April-2011,RCB,PWI,181,5,155,5,182,20,20,20,20,RCB won by 26 runs
36th match (D/N),Kochi,30-April-2011,30-April-2011,DC,Kochi,157,7,119,10,158,20,18.5,20,20,Daredevils won by 38 runs
37th match (N),Eden Gardens,30-April-2011,30-April-2011,KXIP,KKR,119,6,120,2,120,20,17.2,20,20,KKR won by 8 wickets (with 16 balls remaining)
38th match (D/N),Jaipur,01-May-2011,01-May-2011,PWI,RR,143,7,144,4,144,20,19.3,20,20,RR won by 6 wickets (with 3 balls remaining)
39th match (N),Chennai,01-May-2011,01-May-2011,CSK,DCH,165,5,146,8,166,20,20,20,20,CSK won by 19 runs
40th match (D/N),Wankhede,02-May-2011,02-May-2011,MI,KXIP,159,5,136,8,160,20,20,20,20,MI won by 23 runs
41st match (N),Delhi,02-May-2011,02-May-2011,DC,Kochi,140,6,141,3,141,20,15,20,20,Kochi won by 7 wickets (with 30 balls remaining)
42nd match (N),Hyderabad,03-May-2011,03-May-2011,KKR,DCH,169,4,149,6,170,20,20,20,20,KKR won by 20 runs
43rd match (D/N),Chennai,04-May-2011,04-May-2011,RR,CSK,147,6,149,2,148,20,18.4,20,20,CSK won by 8 wickets (with 8 balls remaining)
44th match (N),DY Patil,04-May-2011,04-May-2011,MI,PWI,160,7,139,7,161,20,20,20,20,MI won by 21 runs
45th match (D/N),Kochi,05-May-2011,05-May-2011,Kochi,KKR,156,5,139,7,157,20,20,20,20,Kochi won by 17 runs
46th match (N),Hyderabad,05-May-2011,05-May-2011,DCH,DC,175,5,179,6,176,20,19,20,20,Daredevils won by 4 wickets (with 6 balls remaining)
47th match (N),Bengaluru,06-May-2011,06-May-2011,RCB,KXIP,205,6,120,9,206,20,20,20,20,RCB won by 85 runs
48th match (D/N),Eden Gardens,07-May-2011,07-May-2011,CSK,KKR,114,4,61,2,115,20,10,20,10,KKR won by 10 runs (D/L method)
49th match (N),Wankhede,07-May-2011,07-May-2011,MI,DC,178,4,146,10,179,20,19.5,20,20,MI won by 32 runs
50th match (D/N),Bengaluru,08-May-2011,08-May-2011,Kochi,RCB,125,9,128,1,126,20,13.1,20,20,RCB won by 9 wickets (with 41 balls remaining)
51st match (N),Mohali,08-May-2011,08-May-2011,KXIP,PWI,119,8,120,5,120,20,17.1,20,20,Warriors won by 5 wickets (with 17 balls remaining)
52nd match (N),Jaipur,09-May-2011,09-May-2011,CSK,RR,196,3,133,10,197,20,19.3,20,20,CSK won by 63 runs
53rd match (D/N),Hyderabad,10-May-2011,10-May-2011,DCH,PWI,136,8,137,4,137,20,18.2,20,20,Warriors won by 6 wickets (with 10 balls remaining)
54th match (N),Mohali,10-May-2011,10-May-2011,KXIP,MI,163,8,87,10,164,20,12.5,20,20,Kings XI won by 76 runs
55th match (N),Jaipur,11-May-2011,11-May-2011,RR,RCB,146,6,151,1,147,20,17,20,20,RCB won by 9 wickets (with 18 balls remaining)
56th match (N),Chennai,12-May-2011,12-May-2011,CSK,DC,176,4,158,6,177,20,20,20,20,CSK won by 18 runs
57th match (N),Indore,13-May-2011,13-May-2011,Kochi,KXIP,178,7,181,4,179,20,18.5,20,20,Kings XI won by 6 wickets (with 7 balls remaining)
58th match (D/N),Bengaluru,14-May-2011,14-May-2011,KKR,RCB,13,10,105,6,14,13,12.3,13,13,RCB won by 4 wickets (with 3 balls remaining) (D/L method)
59th match (N),Wankhede,14-May-2011,14-May-2011,DCH,MI,135,6,125,8,136,20,20,20,20,Chargers won by 10 runs
60th match (D/N),Dharamsala,15-May-2011,15-May-2011,KXIP,DC,170,6,141,8,171,20,20,20,20,Kings XI won by 29 runs
61st match (N),Indore,15-May-2011,15-May-2011,RR,Kochi,97,10,98,2,98,18.3,7.2,20,20,Kochi won by 8 wickets (with 76 balls remaining)
62nd match (N),DY Patil,16-May-2011,16-May-2011,PWI,DCH,136,9,138,4,137,20,19.2,20,20,Chargers won by 6 wickets (with 4 balls remaining)
63rd match (N),Dharamsala,17-May-2011,17-May-2011,KXIP,RCB,232,2,121,10,233,20,17,20,20,Kings XI won by 111 runs
64th match (N),Chennai,18-May-2011,18-May-2011,CSK,Kochi,152,5,141,5,153,20,20,20,20,CSK won by 11 runs
65th match (N),DY Patil,19-May-2011,19-May-2011,PWI,KKR,118,7,119,3,119,20,16.4,20,20,KKR won by 7 wickets (with 20 balls remaining)
66th match (N),Wankhede,20-May-2011,20-May-2011,MI,RR,133,5,134,0,134,20,13.1,20,20,RR won by 10 wickets (with 41 balls remaining)
67th match (D/N),Dharamsala,21-May-2011,21-May-2011,DCH,KXIP,198,2,116,10,199,20,19,20,20,Chargers won by 82 runs
69th match (D/N),Bengaluru,22-May-2011,22-May-2011,CSK,RCB,128,8,129,2,129,20,18,20,20,RCB won by 8 wickets (with 12 balls remaining)
70th match (N),Eden Gardens,22-May-2011,22-May-2011,KKR,MI,175,7,178,5,176,20,20,20,20,MI won by 5 wickets (with 0 balls remaining)
1st Qualifying Final (N),Wankhede,24-May-2011,24-May-2011,RCB,CSK,175,4,177,4,176,20,19.4,20,20,CSK won by 6 wickets (with 2 balls remaining)
Elimination Final (N),Wankhede,25-May-2011,25-May-2011,KKR,MI,147,7,148,6,148,20,19.2,20,20,MI won by 4 wickets (with 4 balls remaining)
2nd Qualifying Final (N),Chennai,27-May-2011,27-May-2011,RCB,MI,185,4,142,8,186,20,20,20,20,RCB won by 43 runs
Final (N),Chennai,28-May-2011,28-May-2011,CSK,RCB,205,5,147,8,206,20,20,20,20,CSK won by 58 runs
1st match (N),Chennai,04-April-2012,04-April-2012,CSK,MI,112,10,115,2,113,19.5,16.5,20,20,MI won by 8 wickets (with 19 balls remaining)
2nd match (N),Eden Gardens,05-April-2012,05-April-2012,KKR,DC,12,10,100,2,13,12,11.1,12,12,Daredevils won by 8 wickets (with 5 balls remaining)
3rd match (D/N),Wankhede,06-April-2012,06-April-2012,PWI,MI,129,9,101,9,130,20,20,20,20,Warriors won by 28 runs
4th match (N),Jaipur,06-April-2012,06-April-2012,RR,KXIP,191,4,160,9,192,20,20,20,20,RR won by 31 runs
5th match (D/N),Bengaluru,07-April-2012,07-April-2012,RCB,DC,157,8,137,7,158,20,20,20,20,RCB won by 20 runs
6th match (N),Visakhapatnam,07-April-2012,07-April-2012,CSK,DCH,193,6,119,10,194,20,17.1,20,20,CSK won by 74 runs
7th match (D/N),Jaipur,08-April-2012,08-April-2012,RR,KKR,164,5,142,10,165,20,20,20,20,RR won by 22 runs
8th match (N),Pune,08-April-2012,08-April-2012,PWI,KXIP,166,6,144,8,167,20,20,20,20,Warriors won by 22 runs
9th match (N),Visakhapatnam,09-April-2012,09-April-2012,DCH,MI,138,9,142,5,139,20,20,20,20,MI won by 5 wickets (with 0 balls remaining)
10th match (D/N),Bengaluru,10-April-2012,10-April-2012,KKR,RCB,165,8,123,9,166,20,20,20,20,KKR won by 42 runs
11th match (N),Delhi,10-April-2012,10-April-2012,CSK,DC,110,8,111,2,111,20,13.2,20,20,Daredevils won by 8 wickets (with 40 balls remaining)
12th match (N),Wankhede,11-April-2012,11-April-2012,MI,RR,197,6,170,10,198,20,19.4,20,20,MI won by 27 runs
13th match (D/N),Chennai,12-April-2012,12-April-2012,RCB,CSK,205,8,208,5,206,20,20,20,20,CSK won by 5 wickets (with 0 balls remaining)
14th match (N),Mohali,12-April-2012,12-April-2012,PWI,KXIP,115,10,116,3,116,19,17.4,20,20,Kings XI won by 7 wickets (with 14 balls remaining)
15th match (N),Eden Gardens,13-April-2012,13-April-2012,RR,KKR,131,5,137,5,132,20,19.2,20,20,KKR won by 5 wickets (with 4 balls remaining)
16th match (N),Pune,14-April-2012,14-April-2012,CSK,PWI,155,5,156,3,156,20,19.2,20,20,Warriors won by 7 wickets (with 4 balls remaining)
17th match (D/N),Eden Gardens,15-April-2012,15-April-2012,KXIP,KKR,134,9,132,7,135,20,20,20,20,Kings XI won by 2 runs
18th match (N),Bengaluru,15-April-2012,15-April-2012,RR,RCB,195,2,136,10,196,20,19.5,20,20,RR won by 59 runs
19th match (N),Wankhede,16-April-2012,16-April-2012,MI,DC,92,10,93,3,93,19.2,14.5,20,20,Daredevils won by 7 wickets (with 31 balls remaining)
20th match (D/N),Jaipur,17-April-2012,17-April-2012,DCH,RR,196,2,197,5,197,20,19.4,20,20,RR won by 5 wickets (with 2 balls remaining)
21st match (N),Bengaluru,17-April-2012,17-April-2012,PWI,RCB,182,6,186,4,183,20,20,20,20,RCB won by 6 wickets (with 0 balls remaining)
22nd match (N),Mohali,18-April-2012,18-April-2012,KXIP,KKR,124,7,127,2,125,20,16.3,20,20,KKR won by 8 wickets (with 21 balls remaining)
23rd match (D/N),Delhi,19-April-2012,19-April-2012,DCH,DC,157,8,162,5,158,20,19.1,20,20,Daredevils won by 5 wickets (with 5 balls remaining)
24th match (N),Chennai,19-April-2012,19-April-2012,CSK,PWI,164,5,151,7,165,20,20,20,20,CSK won by 13 runs
25th match (N),Mohali,20-April-2012,20-April-2012,KXIP,RCB,163,6,166,5,164,20,19.3,20,20,RCB won by 5 wickets (with 3 balls remaining)
26th match (D/N),Chennai,21-April-2012,21-April-2012,RR,CSK,146,4,147,3,147,20,20,20,20,CSK won by 7 wickets (with 0 balls remaining)
27th match (N),Delhi,21-April-2012,21-April-2012,PWI,DC,192,3,172,7,193,20,20,20,20,Warriors won by 20 runs
28th match (D/N),Wankhede,22-April-2012,22-April-2012,MI,KXIP,163,6,164,4,164,20,19.3,20,20,Kings XI won by 6 wickets (with 3 balls remaining)
29th match (N),Cuttack,22-April-2012,22-April-2012,DCH,KKR,126,7,127,5,127,20,19,20,20,KKR won by 5 wickets (with 6 balls remaining)
30th match (N),Jaipur,23-April-2012,23-April-2012,RCB,RR,189,3,143,7,190,20,20,20,20,RCB won by 46 runs
