Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
31st match (N),Bengaluru,27-April-2017,27-April-2017,RCB,GL,134,10,135,3,135,20,13.5,20,20,Guj Lions won by 7 wickets (with 37 balls remaining)
32nd match (D/N),Eden Gardens,28-April-2017,28-April-2017,DC,KKR,160,6,161,3,161,20,16.2,20,20,KKR won by 7 wickets (with 22 balls remaining)
33rd match (N),Mohali,28-April-2017,28-April-2017,SRH,KXIP,207,3,181,9,208,20,20,20,20,SRH won by 26 runs
34th match (D/N),Pune,29-April-2017,29-April-2017,RPS,RCB,157,3,96,9,158,20,20,20,20,Supergiant won by 61 runs
35th match (N),Rajkot,29-April-2017,29-April-2017,GL,MI,153,9,153,10,154,20,20,20,20,Match tied (MI won the one-over eliminator)
36th match (D/N),Mohali,30-April-2017,30-April-2017,DC,KXIP,67,10,68,0,68,17.1,7.5,20,20,Kings XI won by 10 wickets (with 73 balls remaining)
37th match (N),Hyderabad,30-April-2017,30-April-2017,SRH,KKR,209,3,161,7,210,20,20,20,20,SRH won by 48 runs
38th match (D/N),Wankhede,01-May-2017,01-May-2017,RCB,MI,162,8,165,5,163,20,19.5,20,20,MI won by 5 wickets (with 1 ball remaining)
39th match (N),Pune,01-May-2017,01-May-2017,GL,RPS,161,10,167,5,162,19.5,19.5,20,20,Supergiant won by 5 wickets (with 1 ball remaining)
40th match (N),Delhi,02-May-2017,02-May-2017,SRH,DC,185,3,189,4,186,20,19.1,20,20,Daredevils won by 6 wickets (with 5 balls remaining)
41st match (N),Eden Gardens,03-May-2017,03-May-2017,KKR,RPS,155,8,158,6,156,20,19.2,20,20,Supergiant won by 4 wickets (with 4 balls remaining)
42nd match (N),Delhi,04-May-2017,04-May-2017,GL,DC,208,7,214,3,209,20,17.3,20,20,Daredevils won by 7 wickets (with 15 balls remaining)
43rd match (N),Bengaluru,05-May-2017,05-May-2017,KXIP,RCB,138,7,119,10,139,20,19,20,20,Kings XI won by 19 runs
44th match (D/N),Hyderabad,06-May-2017,06-May-2017,RPS,SRH,148,8,136,9,149,20,20,20,20,Supergiant won by 12 runs
45th match (N),Delhi,06-May-2017,06-May-2017,MI,DC,212,3,66,10,213,20,13.4,20,20,MI won by 146 runs
46th match (D/N),Bengaluru,07-May-2017,07-May-2017,RCB,KKR,158,6,159,4,159,20,15.1,20,20,KKR won by 6 wickets (with 29 balls remaining)
47th match (N),Mohali,07-May-2017,07-May-2017,KXIP,GL,189,3,192,4,190,20,19.4,20,20,Guj Lions won by 6 wickets (with 2 balls remaining)
48th match (N),Hyderabad,08-May-2017,08-May-2017,MI,SRH,138,7,140,3,139,20,18.2,20,20,SRH won by 7 wickets (with 10 balls remaining)
49th match (N),Mohali,09-May-2017,09-May-2017,KXIP,KKR,167,6,153,6,168,20,20,20,20,Kings XI won by 14 runs
50th match (N),Kanpur,10-May-2017,10-May-2017,GL,DC,195,5,197,8,196,20,19.4,20,20,Daredevils won by 2 wickets (with 2 balls remaining)
51st match (N),Wankhede,11-May-2017,11-May-2017,KXIP,MI,230,3,223,6,231,20,20,20,20,Kings XI won by 7 runs
52nd match (N),Delhi,12-May-2017,12-May-2017,DC,RPS,168,8,161,7,169,20,20,20,20,Daredevils won by 7 runs
53rd match (D/N),Kanpur,13-May-2017,13-May-2017,GL,SRH,154,10,158,2,155,19.2,18.1,20,20,SRH won by 8 wickets (with 11 balls remaining)
54th match (N),Eden Gardens,13-May-2017,13-May-2017,MI,KKR,173,5,164,8,174,20,20,20,20,MI won by 9 runs
55th match (D/N),Pune,14-May-2017,14-May-2017,KXIP,RPS,73,10,78,1,74,15.5,12,20,20,Supergiant won by 9 wickets (with 48 balls remaining)
56th match (N),Delhi,14-May-2017,14-May-2017,RCB,DC,161,6,151,10,162,20,20,20,20,RCB won by 10 runs
Qualifier 1 (N),Wankhede,16-May-2017,16-May-2017,RPS,MI,162,4,142,9,163,20,20,20,20,Supergiant won by 20 runs
Eliminator (N),Bengaluru,17-May-2017,17-May-2017,SRH,KKR,128,7,48,3,129,20,5.2,20,6,KKR won by 7 wickets (with 4 balls remaining) (D/L method)
Qualifier 2 (N),Bengaluru,19-May-2017,19-May-2017,KKR,MI,107,10,111,4,108,18.5,14.3,20,20,MI won by 6 wickets (with 33 balls remaining)
Final (N),Hyderabad,21-May-2017,21-May-2017,MI,RPS,129,8,128,6,130,20,20,20,20,MI won by 1 run
1st match (N),Wankhede,07-April-2018,07-April-2018,MI,CSK,165,4,169,9,166,20,19.5,20,20,CSK won by 1 wicket (with 1 ball remaining)
2nd match (D/N),Mohali,08-April-2018,08-April-2018,DC,KXIP,166,7,167,4,167,20,18.5,20,20,Kings XI won by 6 wickets (with 7 balls remaining)
3rd match (N),Eden Gardens,08-April-2018,08-April-2018,RCB,KKR,176,7,177,6,177,20,18.5,20,20,KKR won by 4 wickets (with 7 balls remaining)
4th match (N),Hyderabad,09-April-2018,09-April-2018,RR,SRH,125,9,127,1,126,20,15.5,20,20,SRH won by 9 wickets (with 25 balls remaining)
5th match (N),Chennai,10-April-2018,10-April-2018,KKR,CSK,202,6,205,5,203,20,19.5,20,20,CSK won by 5 wickets (with 1 ball remaining)
6th match (N),Jaipur,11-April-2018,11-April-2018,RR,DC,175,10,60,4,176,17.5,6,175,6,RR won by 10 runs (D/L method)
7th match (N),Hyderabad,12-April-2018,12-April-2018,MI,SRH,147,8,151,9,148,20,20,20,20,SRH won by 1 wicket (with 0 balls remaining)
8th match (N),Bengaluru,13-April-2018,13-April-2018,KXIP,RCB,155,10,159,6,156,19.2,19.3,20,20,RCB won by 4 wickets (with 3 balls remaining)
9th match (D/N),Wankhede,14-April-2018,14-April-2018,MI,DC,194,7,195,3,195,20,20,20,20,Daredevils won by 7 wickets (with 0 balls remaining)
10th match (N),Eden Gardens,14-April-2018,14-April-2018,KKR,SRH,138,8,139,5,139,20,19,20,20,SRH won by 5 wickets (with 6 balls remaining)
11th match (D/N),Bengaluru,15-April-2018,15-April-2018,RR,RCB,217,4,198,6,218,20,20,20,20,RR won by 19 runs
12th match (N),Mohali,15-April-2018,15-April-2018,KXIP,CSK,197,7,193,5,198,20,20,20,20,Kings XI won by 4 runs
13th match (N),Eden Gardens,16-April-2018,16-April-2018,KKR,DC,200,9,129,10,201,20,14.2,20,20,KKR won by 71 runs
14th match (N),Wankhede,17-April-2018,17-April-2018,MI,RCB,213,6,167,8,214,20,20,20,20,MI won by 46 runs
15th match (N),Jaipur,18-April-2018,18-April-2018,RR,KKR,160,8,163,3,161,20,18.5,20,20,KKR won by 7 wickets (with 7 balls remaining)
16th match (N),Mohali,19-April-2018,19-April-2018,KXIP,SRH,193,3,178,4,194,20,20,20,20,Kings XI won by 15 runs
17th match (N),Pune,20-April-2018,20-April-2018,CSK,RR,204,5,140,10,205,20,18.3,20,20,CSK won by 64 runs
